train/mean_ep_reward,stability/std_episode_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/std_ep_reward,stability/avg_episode_reward,train/mean_ep_length,eval/success_rate,timesteps,rollout/success_rate,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/learning_rate
-3.0973502,0.1870957445308685,50.0,41984,-2.05,0.1870957445308685,-3.0973502,50.0,1.0,41984,,,,,,,0.9856327772140503,-0.015895278440439142,-5.623307749629021,0.3845173120498657,0.035296035901410505,0.1112060546875,0.01172737,0.2,-0.06434161961078644,40,0.0001
-3.0115522,0.3399158505394534,50.0,43008,-1.9,0.3399158505394534,-3.0115522,50.0,1.0,43008,,,,,,,,,,,,,,,,,
-3.1001296000000003,0.4011668440594761,50.0,44032,-2.0,0.4011668440594761,-3.1001296000000003,50.0,1.0,44032,,,,,,,,,,,,,,,,,
-3.0315405,0.31816003802371223,50.0,45056,-2.3,0.31816003802371223,-3.0315405,50.0,1.0,45056,,,,,,,,,,,,,,,,,
,,,45056,,,,,,,0.46000000834465027,50.0,169,-3.0825360699999997,11,265,,,,,,,,,,,
-2.8685137000000003,0.2654221265803023,50.0,46080,-1.75,0.2654221265803023,-2.8685137000000003,50.0,1.0,46080,,,,,,,0.9833695888519287,-0.017257741645153146,-5.612849935889244,0.4056829810142517,0.026219275925541297,0.11181640625,0.013259605,0.2,-0.05272640287876129,44,0.0001
-2.9123710000000003,0.34861894318324127,50.0,47104,-1.75,0.34861894318324127,-2.9123710000000003,50.0,1.0,47104,,,,,,,,,,,,,,,,,
-2.7034673,0.2609836114429602,50.0,48128,-1.6,0.2609836114429602,-2.7034673,50.0,1.0,48128,,,,,,,,,,,,,,,,,
-2.5650578,0.3134346551454705,50.0,49152,-1.8,0.3134346551454705,-2.5650578,50.0,1.0,49152,,,,,,,,,,,,,,,,,
,,,49152,,,,,,,0.4699999988079071,50.0,169,-2.7919348599999996,12,289,,,,,,,,,,,
-2.6470547000000004,0.21394970955439507,50.0,50176,-1.85,0.21394970955439507,-2.6470547000000004,50.0,1.0,50176,,,,,,,0.9797841906547546,-0.013210481483838521,-5.600970782339573,0.4889373779296875,0.022899568430148065,0.09893798828125,0.01070421,0.2,-0.06223580241203308,48,0.0001
-2.5824872,0.4535971824352087,50.0,51200,-1.8,0.4535971824352087,-2.5824872,50.0,1.0,51200,,,,,,,,,,,,,,,,,
-2.4231074999999995,0.20186277705324968,50.0,52224,-1.45,0.20186277705324968,-2.4231074999999995,50.0,1.0,52224,,,,,,,,,,,,,,,,,
-2.5128854,0.3542233111962565,50.0,53248,-1.85,0.3542233111962565,-2.5128854,50.0,1.0,53248,,,,,,,,,,,,,,,,,
,,,53248,,,,,,,0.5699999928474426,50.0,169,-2.56813968,13,315,,,,,,,,,,,
-2.2856335,0.22354782255179764,50.0,54272,-1.7,0.22354782255179764,-2.2856335,50.0,1.0,54272,,,,,,,0.9768122434616089,-0.01325882717355853,-5.587362550199032,0.4160280227661133,0.020908752136165276,0.1004638671875,0.010926425,0.2,-0.06283682584762573,52,0.0001
-2.4442095999999998,0.24184036834002706,50.0,55296,-1.75,0.24184036834002706,-2.4442095999999998,50.0,1.0,55296,,,,,,,,,,,,,,,,,
-2.4460196,0.3740839875835907,50.0,56320,-1.8,0.3740839875835907,-2.4460196,50.0,1.0,56320,,,,,,,,,,,,,,,,,
-2.3179487,0.18819944730261565,50.0,57344,-2.0,0.18819944730261565,-2.3179487,50.0,1.0,57344,,,,,,,,,,,,,,,,,
,,,57344,,,,,,,0.6800000071525574,50.0,172,-2.40677215,14,332,,,,,,,,,,,
-2.2891635999999997,0.18051095121692748,50.0,58368,-1.6,0.18051095121692748,-2.2891635999999997,50.0,1.0,58368,,,,,,,0.9740921258926392,-0.01330289596808143,-5.575912103056908,0.454478919506073,0.016476788820000365,0.10809326171875,0.011151153,0.2,-0.0771448165178299,56,0.0001
-2.2370198,0.2071019726698903,50.0,59392,-1.65,0.2071019726698903,-2.2370198,50.0,1.0,59392,,,,,,,,,,,,,,,,,
-2.2739877,0.15895835341248976,50.0,60416,-1.65,0.15895835341248976,-2.2739877,50.0,1.0,60416,,,,,,,,,,,,,,,,,
-2.2626952000000005,0.2177888164965318,50.0,61440,-1.65,0.2177888164965318,-2.2626952000000005,50.0,1.0,61440,,,,,,,,,,,,,,,,,
,,,61440,,,,,,,0.75,50.0,174,-2.2769283099999997,15,352,,,,,,,,,,,
-2.0478452999999996,0.18393303059975383,50.0,62464,-2.0,0.18393303059975383,-2.0478452999999996,50.0,1.0,62464,,,,,,,0.9712494611740112,-0.012695926321612205,-5.5642140582203865,0.4308927059173584,0.015141611147555523,0.1114501953125,0.010976682,0.2,-0.08575020730495453,60,0.0001
-2.1130334,0.2576156865903938,50.0,63488,-1.85,0.2576156865903938,-2.1130334,50.0,1.0,63488,,,,,,,,,,,,,,,,,
-2.0938757,0.286452320162728,50.0,64512,-1.75,0.286452320162728,-2.0938757,50.0,1.0,64512,,,,,,,,,,,,,,,,,
-2.1478699000000003,0.18327618348953587,50.0,65536,-1.7,0.18327618348953587,-2.1478699000000003,50.0,1.0,65536,,,,,,,,,,,,,,,,,
,,,65536,,,,,,,0.6299999952316284,50.0,177,-2.1545149699999997,16,368,,,,,,,,,,,
-2.0387203,0.16144780604582396,50.0,66560,-2.05,0.16144780604582396,-2.0387203,50.0,1.0,66560,,,,,,,0.9694375395774841,-0.012389075869577937,-5.553885996341705,0.3357238173484802,0.013190113604650833,0.0965576171875,0.010307835,0.2,-0.06890380382537842,64,0.0001
-2.0068552,0.19241033576541564,50.0,67584,-1.8,0.19241033576541564,-2.0068552,50.0,1.0,67584,,,,,,,,,,,,,,,,,
-2.0284067,0.14853276690148207,50.0,68608,-1.5,0.14853276690148207,-2.0284067,50.0,1.0,68608,,,,,,,,,,,,,,,,,
-1.9989921,0.19532720947909435,50.0,69632,-1.55,0.19532720947909435,-1.9989921,50.0,1.0,69632,,,,,,,,,,,,,,,,,
,,,69632,,,,,,,0.7900000214576721,50.0,177,-2.0680075099999997,17,393,,,,,,,,,,,
-2.0010896000000002,0.15862523356338984,50.0,70656,-1.8,0.15862523356338984,-2.0010896000000002,50.0,1.0,70656,,,,,,,0.9668276906013489,-0.012448960624169558,-5.544635079801083,0.24056434631347656,0.010588882410957012,0.110595703125,0.0105312355,0.2,-0.054494671523571014,68,0.0001
-1.9328146999999998,0.1724495042370664,50.0,71680,-1.4,0.1724495042370664,-1.9328146999999998,50.0,1.0,71680,,,,,,,,,,,,,,,,,
